episode,mean_global_reward,steps,gate_fraction,scenario_id
360,-0.8438,180,0.306,
361,-0.9705,180,0.319,pm_peak
362,-0.7532,180,0.305,demand_surge
363,-0.9125,180,0.331,midday_multimodal
364,-0.6783,180,0.287,am_peak
365,-1.0103,180,0.32,pm_peak
366,-0.7598,180,0.297,
367,-0.8228,180,0.325,
368,-0.6554,180,0.289,
369,-0.8413,180,0.312,pm_peak
370,-0.829,180,0.284,demand_surge
371,-0.8947,180,0.328,midday_multimodal
372,-0.8117,180,0.294,am_peak
373,-0.7815,180,0.325,pm_peak
374,-0.8016,180,0.296,
375,-0.8719,180,0.32,
376,-0.6668,180,0.283,
377,-0.8299,180,0.304,pm_peak
378,-0.7853,180,0.292,demand_surge
379,-1.027,180,0.327,midday_multimodal
380,-0.6764,180,0.3,am_peak
381,-0.9252,180,0.311,pm_peak
382,-0.8028,180,0.288,
383,-0.9177,180,0.344,
384,-0.6791,180,0.283,
385,-0.9063,180,0.295,pm_peak
386,-0.8002,180,0.293,demand_surge
387,-0.8355,180,0.312,midday_multimodal
388,-0.8109,180,0.276,am_peak
389,-0.8553,180,0.312,pm_peak
390,-1.0857,180,0.281,
391,-0.8038,180,0.317,
392,-0.6605,180,0.278,
393,-1.0129,180,0.32,pm_peak
394,-0.8031,180,0.29,demand_surge
395,-0.8897,180,0.319,midday_multimodal
396,-0.9355,180,0.292,am_peak
397,-0.8251,180,0.292,pm_peak
398,-0.756,180,0.281,
399,-1.3305,180,0.314,
400,-0.6708,180,0.27,
401,-0.7919,180,0.286,pm_peak
402,-0.8462,180,0.288,demand_surge
403,-0.8912,180,0.319,midday_multimodal
404,-0.8956,180,0.293,am_peak
405,-0.949,180,0.305,pm_peak
406,-0.8961,180,0.277,
407,-0.8384,180,0.308,
408,-0.6672,180,0.278,
409,-0.9122,180,0.293,pm_peak
410,-0.8095,180,0.264,demand_surge
411,-0.8954,180,0.292,midday_multimodal
412,-0.6818,180,0.26,am_peak
413,-0.8358,180,0.261,pm_peak
414,-0.9373,180,0.284,
415,-1.0006,180,0.312,
416,-0.6941,180,0.252,
417,-1.101,180,0.27,pm_peak
418,-0.8091,180,0.263,demand_surge
419,-0.9513,180,0.281,midday_multimodal
420,-0.8516,180,0.24,am_peak
421,-0.9295,180,0.261,pm_peak
422,-0.7786,180,0.25,
423,-0.9679,180,0.28,
424,-0.7352,180,0.251,
425,-0.9008,180,0.295,pm_peak
426,-0.8401,180,0.276,demand_surge
427,-0.8452,180,0.299,midday_multimodal
428,-0.6617,180,0.267,am_peak
429,-1.0531,180,0.276,pm_peak
430,-0.7725,180,0.268,
431,-0.938,180,0.306,
432,-0.6691,180,0.253,
433,-0.8279,180,0.263,pm_peak
434,-0.9374,180,0.271,demand_surge
435,-0.825,180,0.281,midday_multimodal
436,-0.7241,180,0.251,am_peak
437,-0.9808,180,0.276,pm_peak
438,-0.8627,180,0.261,
439,-0.9237,180,0.288,
440,-0.6519,180,0.237,
441,-0.8137,180,0.267,pm_peak
442,-0.8547,180,0.272,demand_surge
443,-0.8746,180,0.28,midday_multimodal
444,-0.6558,180,0.258,am_peak
445,-1.1525,180,0.281,pm_peak
446,-0.8002,180,0.275,
447,-0.9496,180,0.303,
448,-0.7622,180,0.262,
449,-0.9063,180,0.286,pm_peak
450,-0.8994,180,0.269,demand_surge
451,-0.9615,180,0.31,midday_multimodal
452,-0.739,180,0.256,am_peak
453,-0.8662,180,0.274,pm_peak
454,-0.7833,180,0.271,
455,-0.9914,180,0.306,
